,FL,Ins,CgG,HiF,PHG,OL,PL,TL,Amg,BF,GP,Str,Cl,ET,Hy,SbT,DT,VT,MES,CbCx,CbN,Bpons,PTg,MY,WM,SS,,,frontal lobe,FL
SOX21,"-1,3078","-1,4617","-1,3978","0,4342","-0,7058","-1,0271","-1,0462","-1,0956","0,6238","0,5826","-0,0269","-0,3663","-0,0504","0,5853","1,2854","0,937","0,5189","1,0082","1,0635","-1,0831","1,5626","0,6588","1,0141","1,0039","-1,7095",,,,,
SOX21,"-0,6029","-0,6812","0,3125","-0,0415","0,0065","-0,031","-0,1198","-0,4793","0,4904","1,0366","0,147","-0,8178","-0,4747","1,3104","0,7016","0,2607","-0,2855","0,1228","0,8843","-2,8543","1,562","0,6447","1,1967","1,0099","-1,1249",,,,,
SOX21,"-2,1729","-1,3689","-1,5968","-0,9126","0,6285","-1,0334","-0,6811","-0,9807","-1,1189","1,906","1,348","0,1608","0,4554","0,5892","0,439","1,3604","0,4824","0,5632","0,1237","1,1096","-2,1199","0,2545","0,3358","0,3535","0,7655","-1,1581",,,,
SOX21,"0,095","-0,5764","0,2005","-0,4287","-0,0792","-0,1859","-0,7129","-0,501","-0,5509","0,9519","1,1321","-1,0007","-0,2439","1,1256",,"1,024","-0,0212","0,5396","0,2263","1,5193","-2,8616","-0,6838","0,3398","1,5022","0,8344","-1,5493",,,,
SOX21,"-1,3578","-1,4673","-0,7397","0,4686","-0,1984","-1,2002","-1,5168","-1,2441","0,334","0,773","0,096","0,1945","0,8976","2,0281","0,4605","1,0201","0,6358","0,8484","0,7625","-2,2483","0,7546","0,1636","0,5089","0,9039","-0,7244","-0,1532",,,,
,"-1,2966","-1,3696","-0,7377","0,19635","-0,1388","-0,81905","-0,87955","-1,03815","0,4122","0,86245","0,1215","-0,10275","0,2025","0,8574","0,5212","0,97855","0,4754","0,57","0,72735","-1,3103","0,66385","0,4496","0,69395","1,0069","-0,92465","-1,1581",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SLC22A16,"-0,5864","-0,9542","1,0282","-0,8173","0,2296","-0,9529","-0,7001","-0,446","0,1492","-1,5378","-0,0762","-0,808","-1,3917","0,7261","2,8082","-0,4268","0,2227","1,3902","1,2103","-0,0967","-0,6836","0,6456","0,7629","1,1072","-0,8026",,,,,
SLC22A16,"-0,504","-1,1627","0,693","-0,3995","-1,1197","-0,0817","0,1993","-0,0126","0,538","1,6948","-1,0839","-0,6927","-0,2428","-1,2064","0,0644","1,4928","0,4766","-0,249","2,0462","1,4378","1,5709","-0,2686","-1,3776","-0,5404","-1,2718",,,,,
SLC22A16,"-0,4161","-0,4958","-0,5064","-0,5995","-0,697","-0,3935","-0,3353","-0,3938","-0,2247","-0,3779","-0,6151","-0,4689","0,4005","2,0624","-0,2358","-0,5948","0,2813","0,7374","-0,3162","-0,586","-0,4739","1,3872","-0,4723","0,3069","3,786",,,,,
SLC22A16,"-0,7588","0,0791","-0,0742","-0,0292","0,1524","-0,7708","0,6288","0,3468","-0,2862","2,529","1,4368","-0,787","0,0346","1,0005","-1,2544","2,2284","-0,6983","-0,3735","-0,6411","-0,7041","-0,3164","1,4415","-1,1012","0,0797","-0,4742","-1,1927",,,,
SLC22A16,"-1,2544","-0,5689","-0,6795","-0,1654","4,0413","-0,2665","-0,5993","-0,4926","1,1604","-0,1119","-0,243","0,5174","-0,466","-0,406",,"-0,2372","-0,5817","1,4268","-0,7445","-0,4716","-0,3772","0,5327","-0,2609","-0,1279","-0,3637","-0,5151",,,,
SLC22A16,"1,0813","-0,3654","0,2728","0,8041","-1,0107","2,2509","0,0271","1,093","0,0694","1,1226","0,221","-0,7944","-0,0588","-1,295","0,3796","-1,2511","-0,2603","-0,3841","0,7905","-1,1603","-0,8758","0,0088","-0,3216","2,2323","-1,2809","-1,295",,,,
,"-0,5452","-0,53235","0,0993","-0,28245","-0,2723","-0,33","-0,1541","-0,2032","0,1093","0,50535","-0,1596","-0,73985","-0,1508","0,16005","0,0644","-0,332","-0,0188","0,2442","0,23715","-0,5288","-0,42555","0,58915","-0,39695","0,1933","-0,6384","-1,1927",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENPI,"0,7313","-1,0916","0,8517","-0,0826","-0,5949","-0,0243","1,0268","0,9406","0,0882","-0,6436","-1,9695","-1,0295","0,1229","-1,3615","-2,0528","0,8319","-0,775","2,3194","0,3283","-0,132","0,3998","1,103","0,7238","0,3243","-0,0349",,,,,
CENPI,"-0,1876","-0,6653","-0,3194","2,7073","-0,08","-0,1253","-0,0207","-0,1261","1,067","-1,2997","0,17","0,1574","-0,0452","-1,4202","-1,4156","1,2116","1,0046","0,8054","0,6381","1,5568","-0,0343","-0,7554","-0,7059","-0,3956","-1,7218",,,,,
CENPI,"1,3137","-0,2851","-0,3691","-1,0237","-0,6044","0,2036","-0,0682","-0,042","3,4311","-0,7162","1,3594","-0,0667","-0,2377","-0,7343","-1,1394","-0,1275","0,0557","0,7128","-0,3778","-0,2306","-0,991","0,903","0,8263","0,5559","-0,7899",,,,,
CENPI,"-1,5579","0,5217","0,0467","-0,9073","0,8581","-0,4716","-0,1109","-0,2674","0,5987","0,5226","0,0184","-0,6466","0,1025","0,6551","-0,9449","0,8199","-0,418","-0,4012","0,4784","-0,1801","0,3952","0,4403","-1,7904","-0,3356","-0,7495","3,5681",,,,
CENPI,"-1,8019","0,5968","-0,8674","0,3135","2,0436","0,7189","0,8231","0,0659","0,0272","0,7264","-1,4031","1,983","0,2692","-1,5262",,"0,8752","-1,7078","0,271","-0,2466","-0,4626","0,6168","-1,5552","-0,9561","-0,6042","-0,4897","0,4882",,,,
CENPI,"0,4999","0,0726","-0,0241","-0,4639","0,0991","-0,0218","0,7516","0,5505","-0,6797","1,7822","-0,3652","-0,2295","1,1869","-1,7148","0,3101","3,0639","0,8838","-1,0951","-0,6463","-0,5248","-0,4007","-1,047","-0,3458","0,0333","0,0395","-1,7148",,,,
,"0,15615","-0,10625","-0,17175","-0,27325","0,00955","-0,02305","0,36545","0,01195","0,34345","-0,0605","-0,1734","-0,1481","0,1127","-1,39085","-1,1394","0,85355","-0,18115","0,4919","0,04085","-0,20535","0,18045","-0,15755","-0,52585","-0,15115","-0,6196","0,4882",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZCCHC9,"-1,135","-1,2367","-1,4073","-0,4061","-1,2573","-0,4036","-0,851","-1,3222","0,9178","1,832","0,6964","-0,6708","0,5338","0,4569","-0,2191","1,2238","-0,3036","1,302","1,0259","-0,1715","1,8662","-1,3883","0,0772","0,351","0,4896",,,,,
ZCCHC9,"-0,8131","-0,9432","-1,0261","-2,0584","-0,382","-0,1898","-0,7704","-0,8615","-0,503","1,3142","0,3667","-0,3926","-0,6258","1,7522","1,0793","0,8892","-0,5752","1,994","-0,2006","1,1764","-0,5053","-0,7278","0,3917","0,1026","1,5084",,,,,
ZCCHC9,"-0,6749","-0,804","0,0328","-1,0992","-0,1066","-0,5335","0,0088","-0,2934","-0,2089","0,1173","2,7586","-0,4448","-1,1086","-0,1055","-0,9977","1,0538","0,8129","1,6382","-0,0974","0,5362","-2,1327","0,0371","0,0452","-0,7307","0,5442",,,,,
ZCCHC9,"1,7526","-0,3051","-0,2687","-0,0813","-1,6783","0,8363","0,2581","0,3229","-0,3977","-2,8418","-0,8767","2,5613","-0,2769","-0,7182","0,295","-0,7649","0,882","-0,6411","0,587","0,4099","1,3245","0,2378","0,4841","0,7322","0,5123","-0,8407",,,,
ZCCHC9,"0,2482","-1,1323","-0,8409","-1,1638","-2,1077","-0,8307","-0,7514","-0,6892","-0,9495","-0,0545","0,9055","-0,3594","-0,4301","-0,6046",,"0,5079","0,665","0,1463","1,902","1,5225","0,8812","1,0712","-0,2697","1,1877","1,4195","-0,025",,,,
ZCCHC9,"-0,6991","-0,9976","-0,8919","-1,7881","-0,9876","-0,6295","-0,7174","-0,8038","-1,1804","-0,0479","1,4824","-0,6878","1,0111","2,2159","0,0718","1,9819","-0,1335","1,1917","1,0303","0,3662","0,6118","-0,2299","0,5047","-0,0615","-0,8315","0,2198",,,,
,"-0,687","-0,9704","-0,8664","-1,1315","-1,12245","-0,46855","-0,7344","-0,7465","-0,45035","0,0347","0,80095","-0,4187","-0,3535","0,1757","0,0718","0,9715","0,26575","1,24685","0,80645","0,47305","0,7465","-0,0964","0,23445","0,2268","0,52825","-0,025",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPR75,"-1,1412","-1,4101","-0,9681","0,4138","-0,3324","-0,2917","-0,9838","-1,3089","1,411","0,9703","0,5738","-0,1374","0,3236","2,0013","0,6823","0,2243","0,8314","0,9036","1,0293","-1,4813","-0,0526","-1,3144","0,4624","1,0279","-1,4336",,,,,
GPR75,"-0,8577","-0,8637","-1,0103","0,2322","-0,7567","-1,5392","-1,2634","-0,9394","0,9475","1,3285","0,7512","0,2789","1,0262",2,"0,7625","0,0272","-0,245","0,1861","0,8515","-2,3655","0,0796","-0,1916","0,9914","0,7745","-0,2048",,,,,
GPR75,"-1,4107","-1,3787","-0,7307","-0,0033","-0,7005","-1,0138","-1,0471","-1,2903","0,6611","0,8984","0,9163","0,0744","0,2388","1,2409","0,4147","1,3086","0,8434","0,5072","1,027","-2,4669","0,5641","0,4168","1,048","1,121","-0,589",,,,,
GPR75,"-0,6496","-1,1743","-1,1151","-1,0594","0,0537","-0,7014","-0,5708","-1,0004","-1,2281","1,4626","1,0029","1,2488","0,4485","0,4749","2,2892","0,9237","0,055","0,4525","0,1168","1,02","-1,0557","0,5321","-0,9285","0,194","1,0133","-1,4541",,,,
GPR75,"-1,0002","-1,2855","-0,9052","-1,0873","0,0285","-0,5422","-1,2354","-1,2338","-1,1786","1,2695","1,06","0,412","0,1611","0,0332",,"0,7516","-0,3089","-0,0747","0,8433","1,7349","-1,3933","-0,3425","-0,0311","1,6374","1,8758","-0,1889",,,,
GPR75,"-1,1103","-1,0152","-0,7633","-0,1631","-0,7666","-1,2604","-1,0763",-1,"0,3311","0,4564","0,5013","-0,0299","-0,6249","1,4607","0,0225","1,1523","-0,0157","1,1699","1,4963","-1,5079","1,5615","-0,1729","1,2305","1,7719","-0,8898","-0,7583",,,,
,"-1,05525","-1,2299","-0,93665","-0,0832","-0,51645","-0,8576","-1,0617","-1,1171","0,4961","1,1199","0,83375","0,17665","0,2812","1,3508","0,6823","0,83765","0,01965","0,47985","0,93925","-1,4946","0,0135","-0,18225","0,7269","1,07445","-0,3969","-0,7583",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASB3,"0,0474","0,1427","-0,0992","-0,3107","-0,4543","0,5905","0,3537","0,1333","1,0773","1,8648","2,0741","0,1341","0,6132","-0,6018","-0,315","-1,0217","-0,6307","0,8875","0,3549","-0,497","-1,4533","-2,6932","-0,0229","-1,181","1,0074",,,,,
ASB3,"0,3748","0,6843","0,5625","-0,5109","1,1165","0,7028","0,5448","0,637","0,0024","0,763","0,7141","0,1759","-0,3447","0,4968","0,309","-0,0107","-0,1416","-0,1567","-1,5339","0,7414","-2,1915","-2,0918","-1,3868","-1,4003","1,9434",,,,,
ASB3,"0,5194","1,0055","1,0575","-0,3333","1,0083","0,3827","0,7513","1,01","-0,0144","0,1535","2,0548","0,1652","-0,7449","-1,8349","-0,2468","-0,7446","0,413","-0,1529","0,1021","1,2016","-1,9755","-1,4421","-1,0806","-1,5302","0,7518",,,,,
ASB3,"-0,4764","0,6551","1,0689","1,0924","-0,6849","1,9363","0,6704","1,2169","0,8866","-1,4536","-1,0989","1,9395","0,2545","-0,8366","-0,0752","-1,3044","0,5445","-0,7132","-0,2459","-0,2702","0,946","-1,3771","-0,9409","-0,5142","-0,9522","0,2126",,,,
ASB3,"-0,9565","0,6746","1,6873","0,3891","-0,2289","1,2183","0,0268","1,1611","1,4596","1,8921","-0,8431","-0,3795","-0,6504","-0,0221",,"-0,508","-0,7411","-0,0797","-0,5292","-0,3798","1,2409","-0,3462","-1,9779","-1,4455","-0,328","-1,2904",,,,
ASB3,"0,3268","0,0474","0,1499","-1,1006","-0,0598","0,0692","-0,1069","0,3832","-0,1196","-0,1415","1,9109","-0,4743","2,5625","-0,7347","0,206","1,1436","0,1853","1,0684","0,8933","0,7495","-1,1214","-1,6893","-1,1274","-1,8754","-0,7011","-0,444",,,,
,"0,1871","0,66485","0,81","-0,322","-0,14435","0,64665","0,44925","0,8235","0,4445","0,45825","1,3125","0,14965","-0,0451","-0,66825","-0,0752","-0,6263","0,02185","-0,1163","-0,0719","0,2356","-1,28735","-1,5657","-1,104","-1,4229","0,2119","-0,444",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSME4,"-0,3515","-0,9585","-0,7644","-0,3934","-1,0004","0,0737","-0,2928","-0,6636","-0,1153","1,1493","0,2954","0,0603","0,7338","0,9043","-1,6593","0,1264","-0,0877","0,7234","-0,2562","-1,4001","0,8367","-0,668","-0,0009","0,1878","3,521",,,,,
PSME4,"-0,2446","-0,4304","-0,5616","-1,54","-0,0002","-0,336","-0,0872","-0,2522","-0,8987","-0,3185","1,5345","0,0779","-0,1003","-0,3448","-0,4463","1,146","0,0934","2,4341","-0,7047","-0,3491","-0,1933","-1,0142","-0,4379","-0,0525","3,0265",,,,,
PSME4,"0,2809","0,1926","0,338","-0,3526","0,0516","0,339","0,4156","0,4102","-0,5949","-0,9656","1,1249","0,3073","-0,552","-1,0318","-0,8041","-1,0546","-0,0709","1,4675","-0,6579","0,1046","-0,5507","-1,2235","-1,4123","-0,6576","1,9021",,,,,
PSME4,"2,9942","0,0443","-0,0584","0,0022","-1,2624","-0,0354","-0,1136","0,1987","-0,1407","-2,312","-1,1767","0,7914","0,1127","0,1956","-1,0345","-1,4282","1,2789","-0,1176","1,89","0,1354","-1,0153","-0,5055","0,4347","0,4226","0,0103","2,0998",,,,
PSME4,"1,5834","-0,2099","-0,5742","-0,4948","-1,4593","-0,821","-0,0519","0,1193","-0,004","-1,4285","-0,3508","1,1016","0,0807","-0,3469",,"-0,3445","1,1507","0,2653","2,2021","-0,0789","-1,3227","1,2746","-1,1952","-0,0266","0,0909","2,4241",,,,
PSME4,"0,1598","-0,5553","-0,2296","-1,5397","-0,7369","0,1486","0,0577","-0,118","-0,9114","-0,2797","1,8562","-0,3873","1,6729","-0,4457","-0,6496","0,9187","0,014","1,4622","-0,138","-1,4491","-0,1283","-1,1734","-0,4657","-0,883","2,0075","1,7932",,,,
,"0,22035","-0,32015","-0,3956","-0,4441","-0,86865","0,01915","-0,06955","0,00065","-0,3678","-0,64205","0,71015","0,1926","0,0967","-0,34585","-0,8041","-0,10905","0,0537","1,0928","-0,1971","-0,214","-0,372","-0,8411","-0,4518","-0,03955","1,9548","2,0998",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHCY,"-0,8449","-0,7458","-0,7924","0,0894","-0,7644","-1,3263","-1,0122","-0,7194","-0,0611","0,5336","0,1759","0,072","1,6865","-0,8044","0,1071","0,9044","-0,2229","1,4293","0,7259","-2,5808","1,4538","-0,2226","0,8001","0,7173","1,402",,,,,
AHCY,"-0,9806","-0,4766","-0,6","0,3032","-0,1506","-0,7505","-0,8855","-0,6293","-0,3822","0,2237","0,6837","0,6381","1,649","-1,9058","0,5159","0,8859","0,2224","1,6162","0,1314","-2,5349","0,1755","-0,8362","0,7759","1,2334","1,0781",,,,,
AHCY,"-0,7294","-0,506","-0,5747","0,7153","0,0564","-0,7733","-0,7118","-0,4224","0,6546","-0,0303","0,6852","0,2723","0,7381","-0,9622","-0,1838","0,7641","0,5383","0,4915","0,2585","-2,4843","-0,4221","-0,7032","-0,5513","-0,1815","0,618",,,,,
AHCY,"3,444","-0,5356","-0,3103","-0,595","-0,123","0,1081","-0,7002","-0,5171","-0,4917","-1,1919","-0,9407","1,3212","0,1456","0,2051","-0,9418","-0,7638","1,2501","0,0892","1,4436","0,5994","-2,902","0,026","0,4874","0,8168","0,515","0,9884",,,,
AHCY,"2,0172","-0,9339","-0,6675","-0,7707","0,311","-0,4948","-1,4112","-1,0775","-0,8161","0,3847","0,3716","-0,0254","0,522","0,5938",,"0,7512","0,6427","0,4077","1,3926","0,1681","-3,0807","1,1057","-0,3877","0,969","1,0975","0,948",,,,
AHCY,"-0,7806","-0,791","-1,0371","-0,0442","-0,932","-0,9776","-0,82","-0,7747","-0,3336","0,1906","0,5275","-0,0223","1,08","0,1647","0,4874","1,6853","0,3408","2,1938","0,182","-2,4623","0,909","-0,6378","0,0387","-0,2231","0,1497","1,8871",,,,
,"-0,755","-0,6407","-0,63375","0,0226","-0,1368","-0,7619","-0,85275","-0,67435","-0,3579","0,20715","0,44955","0,17215","0,90905","-0,31985","0,1071","0,825","0,43955","0,9604","0,4922","-2,4733","-0,1233","-0,4302","0,26305","0,76705","0,84805","0,9884",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EIF2S2,"0,5041","-0,0206","-0,1505","-1,4744","-0,4401","-0,3207","0,4557","0,3561","-0,0454","-0,2532","1,4042","-0,7744","0,3118","-1,6091","-1,5285","-0,193","-1,0774","0,7854","-0,1121","-0,2833","0,7983","0,0663","0,3831","-0,1779","3,3956",,,,,
EIF2S2,"-1,1333","-0,9764","-1,3565","0,0576","-1,2569","-0,7255","-0,9522","-1,2035","0,6494","1,1016","-0,8663","-1,0335","0,6761","-0,3765","-1,0378","0,7448","-0,163","2,0592","0,7184","0,0144","0,5647","0,443","1,335","1,3747","1,3426",,,,,
EIF2S2,"0,4642","0,4913","0,1824","-1,426","0,5092","0,1386","0,4969","0,1547","-1,1407","-0,4695","1,4718","-0,3934","-0,016","-2,174","-0,5801","1,3943","0,6446","2,1","-1,2145","-0,2079","-1,5131","-0,2444","0,1391","-0,3133","1,5056",,,,,
EIF2S2,"-1,3437","-0,9818","-1,1465","-0,1918","-0,7348","-1,1766","-1,21","-1,3023","0,0456","0,5154","0,7107","-0,8493","0,6565","0,1472","0,8796","1,9463","0,3672","2,3561","-0,3848","0,2919","1,1548","-0,9724","0,4227","-0,1426","0,9427",,,,,
EIF2S2,"0,934","1,0954","0,8204","-1,3063","1,1168","0,3769","0,9211","1,0438","-1,0328","-0,9267","1,5478","-0,2806","-0,9212","-2,0071","-0,9442","-0,2947","-0,2164","0,7802","-0,3324","0,5146","-1,038","-1,0801","-0,2804","-0,5907","2,0645",,,,,
EIF2S2,"-0,7204","-0,7065","-0,753","-0,8045","-1,3062","-0,2392","-0,1684","-0,2198","-0,4402","0,6227","1,0712","-1,2389","0,5948","-1,9046","-0,7834","1,3779","0,9435","2,2746","-0,3306","-0,3157","-0,6573","1,6863","0,5393","1,3758","-0,4139",,,,,
EIF2S2,"0,0361","0,4494","0,7852","0,523","-1,6453","1,8553","-0,1554","0,5316","0,7614","-1,8653","-1,4308","0,9383","-0,7294","-0,2515","-1,2645","-1,1055","1,1314","-0,4349","0,9016","-0,3165","0,4864","0,2144","0,4173","0,1585","-0,7034","1,8592",,,,
EIF2S2,"0,5163","-1,3994","-1,5389","-1,405","-0,1592","-0,9603","-0,8244","-1,1015","-1,4518","-0,63","-0,8024","0,9568","-0,5081","0,7565","0,9181","-0,5801","1,7776","0,1264","1,2295","0,9961","-0,0006","1,1107","0,8196","0,9114","1,368","-0,2636",,,,
EIF2S2,"-1,1105","0,4367","0,251","0,3284","-2,2746","0,5545","-0,0052","0,8632","0,5835","-1,7265","-0,692","1,2702","-1,4723","-0,7969",,"0,0289","0,7645","0,5834","1,551","-0,3482","-0,7369","0,9384","-0,4232","-0,5602","-0,87","1,7521",,,,
EIF2S2,"0,6547","0,2449","0,5659","-0,4026","-2,1936","0,163","0,0053","0,3275","0,2866","-0,4706","-1,5719","-0,7638","-1,4233","0,7223",,"-0,2122","0,0407","-0,5518","2,5277","0,3941","-0,3472","1,238","-1,2252","0,7369","0,6453","1,2637",,,,
EIF2S2,"0,9377","0,2779","0,6104","-1,4701","0,5514","0,7909","0,6961","0,6177","-1,3135","-1,1225","2,1268","-0,5568","0,9986","-0,7707","-0,7162","0,1395","0,0802","0,9373","-0,3962","0,2424","-0,7578","0,0148","-0,7279","-1,4233","1,9214","-1,6881",,,,
EIF2S2,"-1,2155","-1,3591","-1,026","-0,5993","-0,7175","-0,8576","-1,2457","-1,2142","-0,2549","0,0568","1,1348","-0,6112","1,3741","0,2534","0,0184","1,8743","0,5908","2,4103","-0,0247","-0,6784","0,8694","-0,7441","-0,1099","0,6355","0,2672","1,173",,,,
,"0,25015","0,11215","0,01595","-0,7019","-0,72615","-0,0503","-0,0803","0,2411","-0,15015","-0,47005","0,89095","-0,584","0,1479","-0,5736","-0,7498","0,0842","0,479","0,86135","-0,0684","-0,09675","-0,1739","0,14035","0,2611","0,00795","1,14265","1,21835",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CNTN4,"0,459","0,3688","0,5627","-0,4952","0,5637","0,6774","0,5091","0,3309","0,9177","-0,1222","-0,4863","0,1731","2,2018","-1,7488","-1,0663","-0,4074","2,0684","0,5971","0,1977","0,1804","-0,225","-1,5018","-0,843","-0,8854","-2,0264",,,,,
CNTN4,"0,1151","0,1345","-0,0562","0,222","-0,5938","0,0178","-0,0537","0,1311","0,933","0,2699","-0,4914","-0,247","1,8377","-3,3789","-0,7407","0,1291","1,5826","0,0799","0,7704","0,0932","0,768","-0,0562","0,3475","0,2032","-2,0173",,,,,
CNTN4,"-0,1741","0,1669","0,1664","-0,1032","-0,3696","0,2049","0,1169","-0,0482","0,5614","0,0359","-0,4133","-0,1636","1,8553","0,001","-0,4569","0,1974","1,6243","-0,1411","1,3342","-0,2443","0,104","0,3248","0,4525","0,6261","-3,209",,,,,
CNTN4,"-2,4487","-0,0564","-0,085","0,0065","0,0478","-0,3954","0,2568","-0,0319","-0,1256","1,2342","0,3304","-0,0761","-0,0988","1,9865","-0,7337","-0,1677","0,0681","2,1656","-0,5104","0,928","0,223","0,8691","-0,5977","-0,6712","0,3324","-2,6077",,,,
CNTN4,"-2,2909","0,322","0,1357","0,2396","-1,222","-0,0639","-0,1736","-0,0441","-0,0621","0,0033","-0,7825","-0,6542","-0,6275","1,349",,"0,0299","-0,1891","2,4493","0,5386","1,2379","0,211","0,1928","-0,262","0,3209","0,3383","-3,2874",,,,
CNTN4,"0,3466","0,1075","0,2804","-0,1011","0,1285","0,282","0,2609","0,2972","0,1956","-0,1289","-0,3159","-0,1168","1,0961","-0,2103","-1,0103","-0,0815","2,0451","-0,2457","1,0282","0,2468","0,5818","-0,2578","0,3296","0,9517","-2,804","-2,9057",,,,
,"-0,0295","0,1507","0,15105","-0,0473","-0,1609","0,11135","0,18685","0,0496","0,3785","0,0196","-0,4498","-0,1402","1,4669","-0,10465","-0,7407","-0,0258","1,60345","0,3385","0,6545","0,2136","0,217","0,0683","0,0338","0,26205","-2,02185","-2,9057",,,,
